Branch,Talker,Event,Content,Key
IgnoreHer,,IfEnd,,IgnoreHer
Check1,Nia,,....,
Check2,Nia,,.....바쁜걸까요?,
Check2,,TalkerBack,,
Check2,,,니아는 왠지 아쉬워보인다.,
Check2,NiaRelationship,IncreaseVarByName,-1,
Check3,Nia,,...... 호시코..,
Check3,,TalkerBack,,
Check3,,,니아는 왠지 불만이 가득해보인다..,
Check3,,,...니아는 이 일을 기억할 것입니다,
Check3,NiaRelationship,IncreaseVarByRandByName,-2,-5
SayHello,,,인사를 하기로 했다.,
SayHello,Var,IfByVarByName,NiaRelationship,
SayHello,>=,,NiaRelationshipCheck3,Check7
SayHello,,IfEnd,,SayHello
SayHello,Var,IfByVarByName,NiaRelationship,
SayHello,>=,,NiaRelationshipCheck2,Check6
SayHello,,IfEnd,,SayHello
SayHello,Var,IfByVarByName,NiaRelationship,
SayHello,>=,,NiaRelationshipCheck1,Check5
SayHello,,IfEnd,,SayHello
SayHello,Var,IfByVarByName,NiaRelationship,
SayHello,>=,,NiaRelationshipCheck0,Check4
SayHello,,IfEnd,,SayHello
Check4,호시코,,안녕?,
Check4,Nia,,...,
Check4,,TalkerBack,,
Check4,,,어색한 듯하다.,
Check4,NiaRelationship,IncreaseVarByName,1,
Check5,호시코,,안녕?,
Check5,Nia,,.. 아.. 안녕하세요,
Check5,,TalkerBack,,
Check5,,,아직은 어색한 듯하다.,
Check5,NiaRelationship,IncreaseVarByName,1,
Check6,호시코,,안녕 니아?,
Check6,Nia,,안녕하세요,
Check6,,TalkerBack,,
Check6,,,니아는 인사를 받아줬다.,
Check6,NiaRelationship,IncreaseVarByName,1,
Check7,호시코,,안녕 니아?,
Check7,Nia,,안녕하세요 호시코! ,
Check7,,TalkerBack,,
Check7,,,니아는 반가운 듯이 인사를 받아줬다.,
Check7,NiaRelationship,IncreaseVarByName,1,
0,,ResetKey,,
0,,FadeOut,1.5,
0,,,이렇게 쉬는시간이 지나갔다.,
0,,LoadCSV,,
